Deposit Name,Longitude,Latitude,Commodity Group,State,val
Callisto,118.28730,-27.08670,"Precious metals - Au, Ag",WA,1
Cameby Downs,150.28718,-26.57862,Coal,QLD,1
Cannington,140.91990,-21.86580,"Base metals - Zn, Pb (Cu, Ag)",QLD,1
Cannon,121.76290,-30.81610,"Precious metals - Au, Ag",WA,1
Capcoal,148.54994,-22.90412,Coal,QLD,1
Carborough Downs,148.20940,-21.95020,Coal,QLD,1
Carosue Dam,122.35000,-30.12000,"Precious metals - Au, Ag",WA,1
Carrapateena,137.49840,-31.21750,"Base metals - Cu, Au, U",SA,1
Caval Ridge,148.17199,-22.22146,Coal,QLD,1
Celebration,121.59030,-30.00590,"Precious metals - Au, Ag",WA,1
Centenary,121.28680,-27.88840,"Precious metals - Au, Ag",WA,1
Century,138.62385,-18.73952,"Base metals - Zn, Pb (Cu, Ag)",QLD,1
Chain Valley,151.55000,-33.16306,Coal,NSW,1
Channar JV,117.78859,-23.29938,Iron ore,WA,1
Cheriton's Find,119.65920,-31.83070,"Precious metals - Au, Ag",WA,1
Chesney,145.85780,-31.52122,"Base metals - Cu (Zn, Pb, Ag, Au)",NSW,1
Christmas Island,105.65000,-10.49167,"Fertiliser elements - P,K",IOT,1
Clarence,150.24393,-33.45648,Coal,NSW,1
Clermont,147.63077,-22.68922,Coal,QLD,1
Cliffs,120.55283,-27.31049,"Battery/Alloy metals - Ni, Co, Mn, V, Mo",WA,1
Cloncurry,140.74100,-20.75734,"Precious metals - Au, Ag",QLD,1
Cloudbreak,119.39639,-22.30278,Iron ore,WA,1
Christmas Creek,119.39639,-22.30278,Iron ore,WA,1
Cobar,145.79860,-31.40802,"Base metals - Cu (Zn, Pb, Ag, Au)",NSW,1
Cock -Eyed Bob,122.17610,-31.08950,"Precious metals - Au, Ag",WA,1
Collinsville,147.76856,-20.56761,Coal,QLD,1
Comet Vale,121.13104,-29.95493,"Precious metals - Au, Ag",WA,1
Commodore,151.27905,-27.93027,Coal,QLD,1
Cooljarloo ,115.36068,-30.59331,Heavy mineral sands,WA,1
Coppabella,148.42719,-21.84455,Coal,QLD,1
Cornishman,119.36130,-31.27850,"Precious metals - Au, Ag",WA,1
Cornwall,148.13333,-41.55000,Coal,TAS,1
Cosmo Howley,131.37610,-13.53690,"Precious metals - Au, Ag",NT,1
Costerfield,144.80150,-36.89570,"Precious metals - Au, Ag",VIC,1
Cowal,147.40670,-33.63690,"Precious metals - Au, Ag",NSW,1
Cracow,150.27030,-25.28928,"Precious metals - Au, Ag",QLD,1
Curragh,148.85414,-23.46622,Coal,QLD,1
Daisy Milano,121.92240,-31.01330,"Precious metals - Au, Ag",WA,1
Dalgaranga,117.26530,-27.84617,"Precious metals - Au, Ag",WA,1
Darlot Project,121.26890,-27.88750,"Precious metals - Au, Ag",WA,1
Daunia,148.28855,-22.04399,Coal,QLD,1
Dawson,150.05924,-24.61683,Coal,QLD,1
Deep South,122.54790,-29.54590,"Precious metals - Au, Ag",WA,1
Deflector,116.37960,-28.66910,"Base metals - Cu (Zn, Pb, Ag, Au)",WA,1
DeGrussa,119.32810,-25.54060,"Base metals - Cu (Zn, Pb, Ag, Au)",WA,1
Dendrobium,150.76000,-34.38000,Coal,NSW,1
Dhupuma,136.82000,-12.38000,Bauxite,NT,1
Drake,147.81600,-20.70800,Coal,QLD,1
Dugald River,140.15580,-20.25450,"Base metals - Zn, Pb (Cu, Ag)",QLD,1
Duketon,122.35600,-27.90640,"Precious metals - Au, Ag",WA,1
East Kundana,121.23000,-30.72000,Iron ore,WA,1
Eastern Range,117.65722,-23.24099,Iron ore,WA,1
Edna May,118.69980,-31.29120,"Precious metals - Au, Ag",WA,1
Eloise,140.97989,-20.95485,"Base metals - Zn, Pb (Cu, Ag)",QLD,1
Endeavor,145.65380,-31.16292,"Base metals - Zn, Pb (Cu, Ag)",NSW,1
Ensham,148.49746,-23.45446,Coal,QLD,1
Ernest Henry,140.70281,-20.43983,"Base metals - Zn, Pb (Cu, Ag)",QLD,1
Ewington,116.25000,-33.36240,Coal,WA,1
Fairplay,121.72390,-31.74920,"Precious metals - Au, Ag",WA,1
Federal Flag,120.64750,-30.13620,"Precious metals - Au, Ag",WA,1
Firetail,117.76949,-22.12867,Iron ore,WA,1
Flying Fox,119.68899,-32.41846,"Battery/Alloy metals - Ni, Co, Mn, V, Mo",WA,1
Fortnum,118.36000,-25.33000,"Precious metals - Au, Ag",WA,1
Fosterville,144.50360,-36.71630,"Precious metals - Au, Ag",VIC,1
Four Mile,139.52917,-30.14167,Uranium,SA,1
Foxleigh,148.80389,-22.99778,Coal,QLD,1
Frog's Leg,121.27010,-30.76160,"Precious metals - Au, Ag",WA,1
Geko,120.90000,-30.86409,"Precious metals - Au, Ag",WA,1
George Fisher,139.47201,-20.57105,"Base metals - Zn, Pb (Cu, Ag)",QLD,1
Ginkgo,142.22598,-33.36441,Heavy mineral sands,NSW,1
Glendell,151.07755,-32.45119,Coal,NSW,1
Golden Age ,120.24600,-26.60180,"Precious metals - Au, Ag",WA,1
Golden Cities,121.39675,-30.40724,"Precious metals - Au, Ag",WA,1
Golden Eagle,120.12050,-21.96710,"Precious metals - Au, Ag",WA,1
Golden Eagle,120.65570,-30.04900,"Precious metals - Au, Ag",WA,1
Golden Gate,120.41690,-21.80833,"Precious metals - Au, Ag",WA,1
Golden Grove,116.98480,-28.76290,"Base metals - Zn, Pb (Cu, Ag)",WA,1
Goondicum,151.43386,-24.85565,Heavy mineral sands,QLD,1
Goonyella,147.96205,-21.79232,Coal,QLD,1
Gossan Hill,116.96260,-28.77720,"Base metals - Cu (Zn, Pb, Ag, Au)",WA,1
Gove,136.83702,-12.26112,Bauxite,NT,1
Granite Belt,151.29045,-28.83055,"Base metals - Cu (Zn, Pb, Ag, Au)",QLD,1
Granny Smith,122.42300,-28.81200,"Precious metals - Au, Ag",WA,1
Greenbushes,116.06683,-33.85585,Lithium,WA,1
Groote Eylandt,136.44555,-13.99216,"Battery/Alloy metals - Ni, Co, Mn, V, Mo",NT,1
